record_id,date,origin,destination,shipping_mode,carrier,distance_km,weight_kg,cost_usd,cost_per_kg,cost_per_km,fuel_surcharge_pct,on_time
TR00001,2024-05-23,Mumbai,Riyadh,Sea Freight,DB Schenker,9121,9271.1,2301.89,0.2483,0.2524,17.9,1
TR00002,2024-11-29,Dubai,Jubail,Road Transport,Agility Logistics,5824,9877.8,1932.39,0.1956,0.3318,12.4,1
TR00003,2023-05-24,Munich,Jeddah,Air Freight,NAQEL Express,5700,3174.0,1297.93,0.4089,0.2277,10.1,1
TR00004,2024-12-01,Riyadh,Riyadh,Road Transport,Aramex,7112,8194.7,2674.2,0.3263,0.376,8.8,1
TR00005,2023-08-10,Mumbai,Madinah,Express Courier,FedEx,9396,4899.7,2263.37,0.4619,0.2409,12.0,0
TR00006,2024-12-29,Istanbul,Jubail,Road Transport,DHL Global,4692,3083.2,2466.16,0.7999,0.5256,6.4,1
TR00007,2023-05-07,Dammam,Dammam,Express Courier,DHL Global,4233,8248.9,1918.88,0.2326,0.4533,13.2,1
TR00008,2023-04-16,Mumbai,Madinah,Rail,Saudi Post Logistics,4961,3374.4,1230.52,0.3647,0.248,10.2,1
TR00009,2024-12-19,Dammam,Riyadh,Road Transport,DHL Global,7195,5125.1,3390.83,0.6616,0.4713,7.0,1
TR00010,2024-06-20,Mumbai,Riyadh,Road Transport,Maersk Line,237,3936.8,446.58,0.1134,1.8843,10.9,1
TR00011,2024-02-13,Dammam,Dammam,Sea Freight,Aramex,9217,2228.5,2386.55,1.0709,0.2589,3.8,1
TR00012,2023-07-07,Munich,Jeddah,Air Freight,Saudi Post Logistics,2559,5626.1,1515.6,0.2694,0.5923,7.8,1
TR00013,2023-05-26,Istanbul,Dubai,Rail,Aramex,1146,5460.9,4078.87,0.7469,3.5592,4.1,1
TR00014,2024-05-17,Dubai,Dubai,Sea Freight,NAQEL Express,5436,2482.5,1701.92,0.6856,0.3131,11.1,1
TR00015,2024-08-31,Riyadh,Jeddah,Rail,DHL Global,8675,8755.8,5751.99,0.6569,0.6631,11.0,1
TR00016,2024-08-21,Dubai,Jeddah,Rail,DHL Global,9656,3426.0,1985.09,0.5794,0.2056,17.7,1
TR00017,2024-12-09,Dubai,Riyadh,Road Transport,Agility Logistics,5106,2589.7,1652.25,0.638,0.3236,11.2,0
TR00018,2024-05-11,Shanghai,Madinah,Air Freight,NAQEL Express,5248,9061.3,2701.37,0.2981,0.5147,13.3,1
TR00019,2023-04-10,Dubai,Dubai,Express Courier,Maersk Line,2175,9074.4,5462.23,0.6019,2.5114,6.6,1
TR00020,2023-06-08,Riyadh,Madinah,Air Freight,Agility Logistics,1684,8559.1,2079.51,0.243,1.2349,10.6,1
TR00021,2024-04-28,Dubai,Riyadh,Sea Freight,Maersk Line,9772,5101.1,3976.07,0.7795,0.4069,10.8,1
TR00022,2023-04-08,Jeddah,Jeddah,Air Freight,Agility Logistics,2877,5614.7,3769.86,0.6714,1.3103,8.5,1
TR00023,2023-03-05,Jeddah,Dammam,Express Courier,Agility Logistics,7790,1169.6,824.33,0.7048,0.1058,9.5,1
TR00024,2024-12-21,Riyadh,Jeddah,Rail,Agility Logistics,10117,5302.3,2288.2,0.4315,0.2262,13.1,1
TR00025,2023-08-03,Istanbul,Jubail,Rail,Aramex,9482,304.0,401.21,1.3198,0.0423,7.2,0
TR00026,2024-07-12,Dubai,Dubai,Express Courier,DHL Global,10809,4475.3,2786.31,0.6226,0.2578,6.2,0
TR00027,2023-02-17,Dammam,Jeddah,Sea Freight,DB Schenker,8141,6614.4,2573.37,0.3891,0.3161,4.4,1
TR00028,2024-08-12,Riyadh,Jubail,Road Transport,Aramex,4609,1079.9,689.31,0.6383,0.1496,15.4,1
TR00029,2024-04-23,Dammam,Riyadh,Rail,DHL Global,10623,5924.3,3896.75,0.6578,0.3668,6.3,1
TR00030,2023-05-24,Munich,Jeddah,Air Freight,Maersk Line,8504,5746.6,3912.97,0.6809,0.4601,12.2,1
TR00031,2024-01-05,Jeddah,Jubail,Road Transport,Agility Logistics,2221,1359.7,978.19,0.7194,0.4404,9.3,1
TR00032,2023-10-09,Dubai,Dubai,Express Courier,DB Schenker,1095,7711.8,2747.85,0.3563,2.5095,10.8,0
TR00033,2024-10-22,Riyadh,Jeddah,Express Courier,Maersk Line,1198,9919.1,3908.18,0.394,3.2623,16.3,1
TR00034,2024-04-19,Shanghai,Jubail,Rail,Aramex,4028,6741.1,4092.55,0.6071,1.016,8.9,1
TR00035,2024-03-24,Shanghai,Dubai,Rail,Saudi Post Logistics,10733,177.0,570.07,3.2207,0.0531,8.7,1
TR00036,2023-02-18,Jeddah,Dammam,Air Freight,NAQEL Express,6700,3558.3,2012.47,0.5656,0.3004,6.7,1
TR00037,2024-01-06,Mumbai,Jubail,Express Courier,FedEx,11459,6259.0,2492.9,0.3983,0.2175,17.7,1
TR00038,2023-06-27,Jeddah,Madinah,Road Transport,Saudi Post Logistics,11385,4901.6,3500.39,0.7141,0.3075,6.8,0
TR00039,2024-09-04,Munich,Riyadh,Air Freight,FedEx,6831,2282.0,585.82,0.2567,0.0858,6.4,1
TR00040,2024-11-13,Munich,Dubai,Sea Freight,Agility Logistics,2004,6176.2,4637.76,0.7509,2.3143,13.9,0
TR00041,2024-10-18,Jeddah,Madinah,Rail,DHL Global,6791,8817.0,7656.65,0.8684,1.1275,17.4,1
TR00042,2023-03-31,Riyadh,Dammam,Road Transport,Agility Logistics,8036,7669.0,1787.09,0.233,0.2224,9.8,1
TR00043,2023-02-05,Munich,Madinah,Road Transport,Aramex,10431,4676.6,4758.68,1.0176,0.4562,4.0,1
TR00044,2023-12-18,Istanbul,Dammam,Express Courier,Agility Logistics,7280,7488.1,5337.89,0.7128,0.7332,9.2,0
TR00045,2024-08-11,Dubai,Jubail,Sea Freight,NAQEL Express,5207,8975.6,1476.53,0.1645,0.2836,10.5,1
TR00046,2024-05-03,Riyadh,Riyadh,Air Freight,Saudi Post Logistics,1815,9263.8,2203.35,0.2378,1.214,4.7,0
TR00047,2023-02-16,Dammam,Dammam,Air Freight,FedEx,4344,2984.9,2901.82,0.9722,0.668,4.7,1
TR00048,2023-06-28,Riyadh,Riyadh,Air Freight,Aramex,1220,4171.2,2216.38,0.5314,1.8167,5.1,0
TR00049,2024-09-18,Dubai,Jubail,Sea Freight,NAQEL Express,2902,9320.4,2051.36,0.2201,0.7069,5.9,0
TR00050,2024-11-11,Riyadh,Riyadh,Air Freight,FedEx,2838,5473.7,1182.74,0.2161,0.4168,7.0,1
TR00051,2023-05-22,Dammam,Dammam,Sea Freight,NAQEL Express,5019,7449.5,1222.61,0.1641,0.2436,7.0,0
TR00052,2024-12-01,Dammam,Dammam,Rail,Agility Logistics,10030,349.4,1403.48,4.0168,0.1399,3.2,1
TR00053,2024-04-19,Istanbul,Madinah,Express Courier,Maersk Line,4445,8985.3,7115.16,0.7919,1.6007,5.8,0
TR00054,2023-06-23,Istanbul,Dubai,Express Courier,Aramex,7540,5555.5,3915.31,0.7048,0.5193,5.4,1
TR00055,2023-12-06,Dubai,Madinah,Express Courier,FedEx,11488,9019.4,2988.83,0.3314,0.2602,7.0,1
TR00056,2023-07-10,Istanbul,Madinah,Road Transport,Maersk Line,8836,3507.3,1213.52,0.346,0.1373,3.1,1
TR00057,2023-12-06,Dubai,Riyadh,Air Freight,DB Schenker,8544,2464.5,2804.65,1.138,0.3283,5.7,1
TR00058,2023-02-20,Istanbul,Dubai,Road Transport,DB Schenker,5573,4567.3,2544.83,0.5572,0.4566,7.9,1
TR00059,2023-05-19,Dubai,Jubail,Rail,DHL Global,6879,1915.0,957.39,0.4999,0.1392,17.1,1
TR00060,2024-11-20,Jeddah,Madinah,Rail,FedEx,11273,7502.9,5743.25,0.7655,0.5095,12.2,1
TR00061,2023-01-16,Shanghai,Dammam,Air Freight,DB Schenker,2435,6594.9,1494.94,0.2267,0.6139,13.2,1
TR00062,2024-10-25,Riyadh,Dubai,Rail,Agility Logistics,11914,1225.4,1141.91,0.9319,0.0958,14.6,1
TR00063,2023-08-22,Mumbai,Dammam,Sea Freight,Maersk Line,2854,8185.1,1787.79,0.2184,0.6264,13.6,1
TR00064,2024-04-11,Istanbul,Madinah,Road Transport,DHL Global,2624,4825.1,867.25,0.1797,0.3305,7.7,1
TR00065,2023-06-13,Munich,Jeddah,Sea Freight,FedEx,8560,8565.2,2473.8,0.2888,0.289,3.1,1
TR00066,2024-08-24,Riyadh,Riyadh,Sea Freight,Maersk Line,9210,584.8,992.97,1.698,0.1078,11.4,1
TR00067,2023-01-04,Dubai,Madinah,Express Courier,NAQEL Express,8433,1140.3,639.97,0.5612,0.0759,10.0,1
TR00068,2023-06-14,Istanbul,Dammam,Road Transport,Maersk Line,1336,8740.6,2135.96,0.2444,1.5988,7.2,1
TR00069,2023-12-30,Mumbai,Dammam,Air Freight,NAQEL Express,859,5747.8,1057.29,0.1839,1.2308,12.9,1
TR00070,2023-06-29,Riyadh,Dammam,Express Courier,FedEx,2314,7116.0,1138.11,0.1599,0.4918,8.6,1
TR00071,2024-05-08,Mumbai,Dammam,Road Transport,Agility Logistics,3563,1897.5,1977.04,1.0419,0.5549,16.9,1
TR00072,2023-03-01,Shanghai,Jubail,Air Freight,DB Schenker,8416,2742.5,689.08,0.2513,0.0819,12.2,1
TR00073,2023-10-26,Dubai,Riyadh,Sea Freight,DHL Global,7158,6444.5,4630.32,0.7185,0.6469,14.1,1
TR00074,2023-02-16,Shanghai,Dubai,Air Freight,Maersk Line,2680,2803.1,2441.33,0.8709,0.9109,12.2,0
TR00075,2023-02-02,Riyadh,Dammam,Road Transport,Aramex,3406,2283.7,904.6,0.3961,0.2656,8.3,0
TR00076,2023-05-06,Dubai,Dammam,Air Freight,DHL Global,5985,930.0,907.8,0.9761,0.1517,6.6,1
TR00077,2024-08-12,Riyadh,Dammam,Air Freight,NAQEL Express,9553,9108.1,5680.82,0.6237,0.5947,4.6,1
TR00078,2023-12-09,Munich,Jeddah,Express Courier,NAQEL Express,6388,5546.3,1606.97,0.2897,0.2516,14.4,1
TR00079,2024-07-22,Dammam,Jubail,Sea Freight,FedEx,6503,1511.4,787.87,0.5213,0.1212,4.8,1
TR00080,2024-11-17,Dubai,Dubai,Express Courier,Saudi Post Logistics,9305,2367.3,2593.33,1.0955,0.2787,7.0,0
TR00081,2023-01-29,Mumbai,Dubai,Road Transport,DB Schenker,10402,3920.0,1765.83,0.4505,0.1698,5.7,1
TR00082,2024-02-05,Dammam,Jubail,Express Courier,Agility Logistics,1602,8407.0,5571.09,0.6627,3.4776,7.5,0
TR00083,2024-03-04,Riyadh,Dubai,Rail,NAQEL Express,9901,5136.2,3358.09,0.6538,0.3392,8.8,0
TR00084,2024-06-17,Istanbul,Jubail,Road Transport,FedEx,3844,2060.2,1566.65,0.7604,0.4076,11.3,1
TR00085,2024-06-17,Mumbai,Jeddah,Road Transport,Maersk Line,5077,5748.1,1589.72,0.2766,0.3131,5.5,0
TR00086,2023-11-26,Riyadh,Jeddah,Sea Freight,Saudi Post Logistics,3668,6080.6,1757.6,0.2891,0.4792,17.7,1
TR00087,2023-08-06,Mumbai,Jeddah,Sea Freight,DB Schenker,11899,5112.6,5269.66,1.0307,0.4429,4.1,1
TR00088,2023-03-07,Dammam,Dubai,Rail,Aramex,1337,9051.3,5998.86,0.6628,4.4868,16.4,1
TR00089,2024-01-08,Munich,Jeddah,Rail,Saudi Post Logistics,4991,1944.3,1786.95,0.9191,0.358,14.1,1
TR00090,2023-05-01,Shanghai,Jubail,Sea Freight,DHL Global,6992,104.9,255.84,2.4389,0.0366,7.5,1
TR00091,2023-06-13,Mumbai,Dammam,Express Courier,Agility Logistics,1978,6485.4,4256.62,0.6563,2.152,14.8,1
TR00092,2024-06-27,Mumbai,Dammam,Sea Freight,DHL Global,852,8624.2,4209.47,0.4881,4.9407,3.3,0
TR00093,2023-01-16,Istanbul,Dubai,Sea Freight,Saudi Post Logistics,4892,4836.5,1700.9,0.3517,0.3477,11.1,0
TR00094,2023-03-04,Dubai,Dubai,Rail,DHL Global,3420,7555.0,4892.22,0.6475,1.4305,7.6,1
TR00095,2024-12-10,Munich,Riyadh,Sea Freight,Maersk Line,3290,4245.9,1936.43,0.4561,0.5886,17.2,1
TR00096,2023-06-05,Munich,Madinah,Express Courier,DHL Global,5806,5882.4,4006.32,0.6811,0.69,9.4,0
TR00097,2023-03-04,Istanbul,Madinah,Road Transport,Saudi Post Logistics,10693,9913.5,7657.45,0.7724,0.7161,8.0,1
TR00098,2023-09-30,Dammam,Jubail,Road Transport,Maersk Line,10008,403.3,910.29,2.2571,0.091,8.1,0
TR00099,2024-11-27,Istanbul,Dammam,Road Transport,FedEx,1131,3874.4,3115.94,0.8042,2.755,15.6,1
TR00100,2023-11-12,Mumbai,Dubai,Air Freight,Maersk Line,8680,7561.7,1176.18,0.1555,0.1355,15.5,1
TR00101,2024-07-01,Dubai,Riyadh,Sea Freight,DB Schenker,9755,4118.7,2667.7,0.6477,0.2735,9.1,1
TR00102,2023-09-29,Shanghai,Riyadh,Air Freight,DHL Global,9803,7941.2,1890.33,0.238,0.1928,5.2,1
TR00103,2023-04-24,Munich,Madinah,Express Courier,DB Schenker,2120,9061.6,1086.64,0.1199,0.5126,5.3,1
TR00104,2023-08-05,Riyadh,Jeddah,Express Courier,DHL Global,5529,3163.9,1369.43,0.4328,0.2477,5.3,1
TR00105,2024-08-22,Jeddah,Riyadh,Air Freight,DHL Global,592,3420.6,423.55,0.1238,0.7155,17.7,1
TR00106,2023-09-25,Shanghai,Jeddah,Air Freight,Agility Logistics,168,7021.0,3120.39,0.4444,18.5738,17.8,1
TR00107,2023-06-22,Jeddah,Jubail,Sea Freight,Aramex,4138,7319.8,5430.4,0.7419,1.3123,17.9,0
TR00108,2023-12-05,Shanghai,Riyadh,Express Courier,FedEx,4631,2370.2,1403.65,0.5922,0.3031,14.6,0
TR00109,2024-08-09,Jeddah,Dammam,Express Courier,Maersk Line,3571,373.8,574.82,1.5378,0.161,15.0,1
TR00110,2023-07-23,Riyadh,Dubai,Sea Freight,Maersk Line,4106,5131.4,3154.94,0.6148,0.7684,9.2,0
TR00111,2024-04-05,Istanbul,Riyadh,Air Freight,DB Schenker,3032,5608.7,4513.72,0.8048,1.4887,15.7,1
TR00112,2023-01-22,Shanghai,Jubail,Sea Freight,DB Schenker,2869,4904.1,858.16,0.175,0.2991,4.2,1
TR00113,2024-09-09,Mumbai,Dammam,Sea Freight,DB Schenker,9376,8740.1,8081.28,0.9246,0.8619,12.7,1
TR00114,2023-06-03,Shanghai,Jeddah,Road Transport,Agility Logistics,10564,990.4,1703.25,1.7198,0.1612,16.4,1
TR00115,2024-10-12,Istanbul,Dubai,Express Courier,Agility Logistics,2384,3737.8,1905.65,0.5098,0.7993,5.1,1
TR00116,2024-11-15,Riyadh,Dammam,Road Transport,Saudi Post Logistics,9891,210.5,975.74,4.6353,0.0986,6.1,1
TR00117,2023-09-30,Shanghai,Jubail,Express Courier,DB Schenker,3578,668.7,786.29,1.1758,0.2198,17.1,1
TR00118,2024-10-30,Dammam,Riyadh,Express Courier,NAQEL Express,10632,4114.8,1144.76,0.2782,0.1077,10.7,1
TR00119,2024-09-25,Riyadh,Riyadh,Air Freight,Aramex,6693,8825.5,2054.2,0.2328,0.3069,16.2,1
TR00120,2024-03-05,Dammam,Madinah,Road Transport,DB Schenker,2384,357.8,142.7,0.3988,0.0599,6.0,1
TR00121,2023-12-12,Munich,Riyadh,Air Freight,NAQEL Express,5854,7213.7,4360.38,0.6045,0.7449,7.3,1
TR00122,2024-07-27,Riyadh,Riyadh,Air Freight,Agility Logistics,971,8209.8,4116.61,0.5014,4.2396,10.4,1
TR00123,2023-05-13,Jeddah,Dammam,Air Freight,Saudi Post Logistics,4351,7417.7,4075.84,0.5495,0.9368,9.8,1
TR00124,2024-08-24,Riyadh,Dammam,Road Transport,NAQEL Express,6506,5878.1,2614.22,0.4447,0.4018,8.3,1
TR00125,2023-11-01,Munich,Dubai,Sea Freight,NAQEL Express,11281,1645.6,1571.73,0.9551,0.1393,11.9,1
TR00126,2024-08-24,Mumbai,Madinah,Sea Freight,Saudi Post Logistics,3750,552.7,346.91,0.6277,0.0925,15.6,1
TR00127,2024-09-16,Munich,Dammam,Sea Freight,Agility Logistics,4098,9404.2,6999.51,0.7443,1.708,8.4,0
TR00128,2024-05-06,Riyadh,Riyadh,Express Courier,NAQEL Express,4753,711.0,828.83,1.1657,0.1744,17.2,1
TR00129,2023-04-28,Riyadh,Madinah,Sea Freight,FedEx,10938,2183.0,1202.12,0.5507,0.1099,10.7,1
TR00130,2024-08-19,Mumbai,Madinah,Sea Freight,DB Schenker,11374,3897.5,2048.29,0.5255,0.1801,17.4,1
TR00131,2023-08-25,Jeddah,Dubai,Express Courier,Maersk Line,740,5867.2,652.1,0.1111,0.8812,10.2,1
TR00132,2023-04-07,Mumbai,Riyadh,Road Transport,DHL Global,10104,4946.1,4077.01,0.8243,0.4035,10.9,1
TR00133,2024-11-30,Jeddah,Jubail,Rail,Saudi Post Logistics,4805,3723.1,2221.14,0.5966,0.4623,13.9,1
TR00134,2024-12-28,Istanbul,Madinah,Rail,Maersk Line,4879,7804.3,5004.49,0.6412,1.0257,16.7,1
TR00135,2023-03-01,Jeddah,Dubai,Air Freight,Saudi Post Logistics,9493,4501.1,4244.74,0.943,0.4471,11.7,0
TR00136,2023-04-03,Dubai,Madinah,Air Freight,DHL Global,1976,9726.7,3242.1,0.3333,1.6407,15.7,1
TR00137,2024-08-26,Istanbul,Riyadh,Road Transport,NAQEL Express,9536,8237.0,2990.0,0.363,0.3135,10.6,1
TR00138,2024-09-02,Shanghai,Madinah,Sea Freight,FedEx,10975,2548.8,1237.61,0.4856,0.1128,13.0,1
TR00139,2023-10-13,Riyadh,Dubai,Sea Freight,Saudi Post Logistics,4808,3367.9,766.41,0.2276,0.1594,4.6,1
TR00140,2023-09-04,Jeddah,Dubai,Rail,Agility Logistics,5769,1232.7,1666.2,1.3517,0.2888,14.6,0
TR00141,2023-09-18,Riyadh,Jeddah,Rail,DB Schenker,787,1480.7,312.61,0.2111,0.3972,10.6,0
TR00142,2024-07-25,Dubai,Jeddah,Air Freight,Agility Logistics,2638,1311.9,807.84,0.6158,0.3062,11.1,1
TR00143,2023-09-30,Munich,Jeddah,Express Courier,DHL Global,5487,3772.3,1173.56,0.3111,0.2139,11.8,1
TR00144,2024-02-22,Dammam,Jeddah,Sea Freight,DHL Global,10426,4676.1,1696.12,0.3627,0.1627,17.1,1
TR00145,2023-05-09,Shanghai,Jeddah,Sea Freight,DB Schenker,4279,851.7,799.85,0.9391,0.1869,15.7,1
TR00146,2023-03-03,Munich,Jeddah,Rail,DB Schenker,9414,6946.0,5080.74,0.7315,0.5397,3.8,0
TR00147,2023-05-04,Dammam,Jubail,Rail,Aramex,9489,2360.7,2971.43,1.2587,0.3131,8.7,1
TR00148,2024-06-02,Istanbul,Dammam,Rail,Maersk Line,560,7964.4,1868.12,0.2346,3.3359,8.1,1
TR00149,2024-05-17,Riyadh,Jeddah,Road Transport,FedEx,5729,7496.2,1638.79,0.2186,0.2861,8.8,1
TR00150,2024-12-06,Munich,Jubail,Rail,FedEx,6913,7294.5,2189.49,0.3002,0.3167,12.0,1
TR00151,2024-08-23,Shanghai,Jubail,Air Freight,DB Schenker,8110,4503.9,1977.55,0.4391,0.2438,7.5,1
TR00152,2023-07-20,Dubai,Dammam,Road Transport,DHL Global,10082,457.9,488.41,1.0666,0.0484,5.7,1
TR00153,2023-07-25,Shanghai,Jeddah,Sea Freight,NAQEL Express,4287,5059.9,1903.84,0.3763,0.4441,9.9,1
TR00154,2024-01-30,Mumbai,Jeddah,Air Freight,NAQEL Express,1338,6085.9,3448.41,0.5666,2.5773,3.3,1
TR00155,2023-02-06,Riyadh,Madinah,Rail,NAQEL Express,119,5177.8,3761.0,0.7264,31.605,10.9,1
TR00156,2024-06-23,Riyadh,Jubail,Express Courier,NAQEL Express,3908,7767.4,1654.97,0.2131,0.4235,10.6,1
TR00157,2024-09-23,Jeddah,Dubai,Rail,Aramex,3281,9417.3,7810.33,0.8294,2.3805,11.4,1
TR00158,2023-12-31,Jeddah,Jeddah,Rail,Aramex,8337,5038.1,1814.71,0.3602,0.2177,5.7,0
TR00159,2024-08-15,Munich,Jubail,Sea Freight,DB Schenker,3671,762.4,707.7,0.9283,0.1928,13.4,1
TR00160,2023-07-30,Dubai,Jeddah,Express Courier,NAQEL Express,11171,7878.9,3220.65,0.4088,0.2883,7.8,1
TR00161,2024-07-12,Jeddah,Riyadh,Sea Freight,Maersk Line,10133,5630.2,4530.75,0.8047,0.4471,16.1,1
TR00162,2024-07-12,Jeddah,Dubai,Sea Freight,Aramex,8381,1202.6,1421.43,1.182,0.1696,6.6,1
TR00163,2023-02-03,Jeddah,Riyadh,Road Transport,DB Schenker,527,9086.6,5869.32,0.6459,11.1372,6.0,0
TR00164,2024-09-19,Istanbul,Madinah,Sea Freight,Maersk Line,7576,488.0,515.21,1.0558,0.068,9.4,1
TR00165,2024-05-18,Munich,Riyadh,Express Courier,Agility Logistics,9635,5219.0,2113.2,0.4049,0.2193,4.7,1
TR00166,2023-06-30,Istanbul,Riyadh,Express Courier,DB Schenker,10254,1542.7,1832.84,1.1881,0.1787,7.6,1
TR00167,2024-09-06,Mumbai,Dubai,Rail,Agility Logistics,9060,1737.3,2142.42,1.2332,0.2365,13.6,1
TR00168,2024-07-28,Riyadh,Dammam,Sea Freight,NAQEL Express,10161,6327.2,4550.08,0.7191,0.4478,16.7,1
TR00169,2023-08-18,Mumbai,Riyadh,Sea Freight,FedEx,7324,3903.6,1065.03,0.2728,0.1454,10.8,1
TR00170,2023-03-03,Dubai,Madinah,Road Transport,NAQEL Express,1367,164.7,193.34,1.1739,0.1414,17.2,0
TR00171,2023-07-18,Jeddah,Jubail,Air Freight,Agility Logistics,7388,8356.6,2675.43,0.3202,0.3621,13.4,1
TR00172,2024-11-20,Jeddah,Dubai,Sea Freight,DB Schenker,5839,8369.6,3471.66,0.4148,0.5946,4.6,1
TR00173,2023-06-19,Riyadh,Jubail,Air Freight,Maersk Line,8961,870.0,675.45,0.7764,0.0754,4.7,1
TR00174,2023-12-14,Riyadh,Jeddah,Rail,Aramex,5464,6505.9,3405.49,0.5234,0.6233,14.7,1
TR00175,2024-09-11,Mumbai,Madinah,Road Transport,FedEx,6391,1212.6,805.13,0.664,0.126,16.5,1
TR00176,2024-07-11,Dammam,Dammam,Air Freight,DB Schenker,8659,8716.3,6812.93,0.7816,0.7868,3.1,1
TR00177,2023-12-06,Munich,Jubail,Air Freight,FedEx,6355,1791.3,1296.14,0.7236,0.204,4.6,1
TR00178,2023-12-14,Riyadh,Jeddah,Road Transport,Saudi Post Logistics,5252,7843.7,6428.53,0.8196,1.224,10.7,1
TR00179,2024-12-09,Riyadh,Madinah,Express Courier,Maersk Line,6470,6990.4,5178.44,0.7408,0.8004,17.2,1
TR00180,2024-08-16,Dammam,Riyadh,Road Transport,DB Schenker,1581,2469.2,1742.86,0.7058,1.1024,5.6,1
TR00181,2024-09-21,Jeddah,Jeddah,Rail,DHL Global,6595,9283.1,5339.34,0.5752,0.8096,12.3,0
TR00182,2024-10-20,Riyadh,Riyadh,Rail,DB Schenker,1270,7629.0,5432.19,0.712,4.2773,3.5,1
TR00183,2023-02-25,Jeddah,Jeddah,Air Freight,DHL Global,2290,3616.9,2683.09,0.7418,1.1717,14.8,1
TR00184,2023-06-06,Dubai,Madinah,Rail,DB Schenker,8487,8646.8,4804.78,0.5557,0.5661,13.4,1
TR00185,2024-10-24,Istanbul,Madinah,Express Courier,Maersk Line,11564,1371.7,917.95,0.6692,0.0794,4.6,1
TR00186,2024-04-23,Jeddah,Jeddah,Rail,DB Schenker,3025,8090.6,5371.74,0.6639,1.7758,7.8,1
TR00187,2024-08-04,Mumbai,Jeddah,Sea Freight,Maersk Line,4405,4094.7,2280.75,0.557,0.5178,11.9,1
TR00188,2023-05-03,Jeddah,Riyadh,Road Transport,DB Schenker,11993,9212.3,4981.15,0.5407,0.4153,13.5,1
TR00189,2024-12-20,Shanghai,Madinah,Road Transport,FedEx,4884,229.7,197.35,0.8592,0.0404,14.6,0
TR00190,2024-05-27,Jeddah,Madinah,Road Transport,Saudi Post Logistics,7495,8057.2,5709.56,0.7086,0.7618,8.4,1
TR00191,2024-01-15,Munich,Jeddah,Express Courier,Saudi Post Logistics,6030,130.4,866.28,6.6433,0.1437,7.2,1
TR00192,2024-06-15,Munich,Dubai,Sea Freight,Saudi Post Logistics,5054,203.1,748.1,3.6834,0.148,5.6,0
TR00193,2024-11-19,Dubai,Dammam,Rail,Agility Logistics,2800,6007.9,3740.99,0.6227,1.3361,7.4,1
TR00194,2023-10-09,Mumbai,Dubai,Express Courier,Saudi Post Logistics,7493,1950.7,1255.79,0.6438,0.1676,8.6,0
TR00195,2023-12-10,Riyadh,Riyadh,Air Freight,FedEx,11257,7876.7,5498.02,0.698,0.4884,17.1,1
TR00196,2024-01-23,Munich,Madinah,Air Freight,Agility Logistics,6254,885.3,1171.24,1.323,0.1873,7.9,1
TR00197,2023-02-12,Istanbul,Jeddah,Sea Freight,DB Schenker,3637,8003.1,6048.1,0.7557,1.6629,15.4,1
TR00198,2023-01-18,Jeddah,Dubai,Air Freight,Maersk Line,1856,7985.8,3068.9,0.3843,1.6535,6.6,1
